Data;Godzina;Minuty;Wolumen
2012-01-01;0;15;14937.40
2012-01-01;0;30;14902.90
2012-01-01;0;45;14827.90
2012-01-01;1;0;14583.20
2012-01-01;1;15;14442.60
2012-01-01;1;30;14263.60
2012-01-01;1;45;14142.50
2012-01-01;2;0;13826.70
2012-01-01;2;15;13659.70
2012-01-01;2;30;13479.70
2012-01-01;2;45;13421.90
2012-01-01;3;0;13215.60
2012-01-01;3;15;13177.90
2012-01-01;3;30;13052.20
2012-01-01;3;45;12977.00
2012-01-01;4;0;12882.70
2012-01-01;4;15;12821.90
2012-01-01;4;30;12719.10
2012-01-01;4;45;12739.30
2012-01-01;5;0;12744.90
2012-01-01;5;15;12743.70
2012-01-01;5;30;12973.90
2012-01-01;5;45;13025.50
2012-01-01;6;0;12890.70
2012-01-01;6;15;13178.90
2012-01-01;6;30;13222.10
2012-01-01;6;45;13252.40
2012-01-01;7;0;13452.40
2012-01-01;7;15;13300.20
2012-01-01;7;30;13170.40
2012-01-01;7;45;12900.30
2012-01-01;8;0;12860.30
2012-01-01;8;15;12905.60
2012-01-01;8;30;12980.70
2012-01-01;8;45;12973.50
2012-01-01;9;0;12971.40
2012-01-01;9;15;13139.90
2012-01-01;9;30;13208.40
2012-01-01;9;45;13136.30
2012-01-01;10;0;13083.10
2012-01-01;10;15;13188.40
2012-01-01;10;30;13323.50
2012-01-01;10;45;13480.70
2012-01-01;11;0;13639.30
2012-01-01;11;15;13809.10
2012-01-01;11;30;13811.40
2012-01-01;11;45;13976.80
2012-01-01;12;0;14054.60
2012-01-01;12;15;14259.00
2012-01-01;12;30;14317.30
2012-01-01;12;45;14364.80
2012-01-01;13;0;14548.10
2012-01-01;13;15;14642.60
2012-01-01;13;30;14719.10
2012-01-01;13;45;14803.10
2012-01-01;14;0;14750.60
2012-01-01;14;15;14880.20
2012-01-01;14;30;14926.60
2012-01-01;14;45;14959.10
2012-01-01;15;0;14804.30
2012-01-01;15;15;14968.70
2012-01-01;15;30;15120.80
2012-01-01;15;45;15495.70
2012-01-01;16;0;16203.40
2012-01-01;16;15;16685.20
2012-01-01;16;30;16936.90
2012-01-01;16;45;16962.30
2012-01-01;17;0;17140.90
2012-01-01;17;15;17047.20
2012-01-01;17;30;17331.30
2012-01-01;17;45;17236.20
2012-01-01;18;0;17357.40
2012-01-01;18;15;17492.00
2012-01-01;18;30;17358.50
2012-01-01;18;45;17306.80
2012-01-01;19;0;17491.60
2012-01-01;19;15;17538.00
2012-01-01;19;30;17676.90
2012-01-01;19;45;17647.00
2012-01-01;20;0;17559.90
2012-01-01;20;15;17348.00
2012-01-01;20;30;17318.10
2012-01-01;20;45;17013.50
2012-01-01;21;0;16829.20
2012-01-01;21;15;16605.30
2012-01-01;21;30;16312.60
2012-01-01;21;45;15960.60
2012-01-01;22;0;15786.30
2012-01-01;22;15;15704.00
2012-01-01;22;30;15252.00
2012-01-01;22;45;15043.60
2012-01-01;23;0;14723.80
2012-01-01;23;15;14408.30
2012-01-01;23;30;14115.70
2012-01-01;23;45;13875.10
2012-01-01;24;0;13690.40
2012-01-02;0;15;13552.70
2012-01-02;0;30;13355.50
2012-01-02;0;45;13286.70
2012-01-02;1;0;13332.10
2012-01-02;1;15;13317.20
2012-01-02;1;30;13473.80
2012-01-02;1;45;13511.30
2012-01-02;2;0;13295.10
2012-01-02;2;15;13246.00
2012-01-02;2;30;13222.10
2012-01-02;2;45;13318.20
2012-01-02;3;0;13252.70
2012-01-02;3;15;13186.90
2012-01-02;3;30;13205.30
2012-01-02;3;45;13274.30
2012-01-02;4;0;13390.70
2012-01-02;4;15;13450.40
2012-01-02;4;30;13623.00
2012-01-02;4;45;13729.90
2012-01-02;5;0;13694.40
2012-01-02;5;15;13789.80
2012-01-02;5;30;13982.30
2012-01-02;5;45;14136.10
2012-01-02;6;0;14750.30
2012-01-02;6;15;15859.80
2012-01-02;6;30;16714.80
2012-01-02;6;45;17394.30
2012-01-02;7;0;18076.20
2012-01-02;7;15;18826.20
2012-01-02;7;30;18914.10
2012-01-02;7;45;19074.00
2012-01-02;8;0;19232.30
2012-01-02;8;15;19623.40
2012-01-02;8;30;19731.30
2012-01-02;8;45;19992.30
2012-01-02;9;0;20145.10
2012-01-02;9;15;20211.10
2012-01-02;9;30;20457.90
2012-01-02;9;45;20421.30
2012-01-02;10;0;20556.00
2012-01-02;10;15;20230.00
2012-01-02;10;30;20690.30
2012-01-02;10;45;20709.60
2012-01-02;11;0;20660.30
2012-01-02;11;15;20864.10
2012-01-02;11;30;20780.80
2012-01-02;11;45;20960.40
2012-01-02;12;0;20864.00
2012-01-02;12;15;20820.20
2012-01-02;12;30;20723.60
2012-01-02;12;45;20903.50
2012-01-02;13;0;20896.00
2012-01-02;13;15;21149.10
2012-01-02;13;30;21318.40
2012-01-02;13;45;20963.50
2012-01-02;14;0;20788.90
2012-01-02;14;15;20891.30
